foto,pearson_lum_depth,spearman_lum_depth,spekular_%,depth_std_ternorm
kelas 1 dengan diastema 1,0.836,0.886,43.6,0.291
kelas 1 with upper anterior croeding a,0.765,0.781,0.4,0.269
kelas 1 normal 2,0.711,0.596,10.5,0.332
kelas 1 with deep bite and protrusion ,0.711,0.667,34.4,0.271
kelas 1 with crowding lower anterior 2,0.706,0.699,30.0,0.269
"kelas 1 with crowding, midline shiftin",0.659,0.715,16.6,0.283
kelas 1 with deep bite and protrusion ,0.622,0.597,24.2,0.301
kelas 1 with multiple diastema and ope,0.614,0.551,29.6,0.292
kelas 1 dengan diastema 2,0.581,0.552,15.7,0.31
kelas 1 with deep bite and protrusion ,0.578,0.523,31.9,0.293
kelas 1 with upper anterior croeding a,0.551,0.539,10.3,0.267
kelas 1 with crowding lower anterior 1,0.461,0.489,1.2,0.234
kelas 1 normal 3,0.432,0.238,31.8,0.199
kelas 1 with crossbite and crowding 1,0.403,0.458,3.8,0.255
"kelas 1 with crowding, midline shiftin",0.38,0.383,16.8,0.29
kelas 1 with upper anterior croeding a,0.346,0.41,36.3,0.228
kelas 1 normal 1,0.335,0.285,7.7,0.288
kelas 3,0.19,0.159,1.0,0.25
