foto,MAE_flip,corr_flip
kelas 1 with multiple diastema and ope,0.033,0.9876
kelas 1 dengan diastema 1,0.0304,0.9903
kelas 1 with upper anterior croeding a,0.0255,0.9916
kelas 1 with crowding lower anterior 1,0.0256,0.9931
kelas 1 dengan diastema 2,0.0256,0.9934
kelas 1 with deep bite and protrusion ,0.0247,0.9937
kelas 1 with upper anterior croeding a,0.0197,0.9955
kelas 1 normal 2,0.0262,0.996
"kelas 1 with crowding, midline shiftin",0.0202,0.9964
kelas 1 normal 3,0.0114,0.9977
kelas 1 with crowding lower anterior 2,0.0151,0.9978
kelas 1 with upper anterior croeding a,0.012,0.9978
kelas 1 with deep bite and protrusion ,0.0142,0.9986
kelas 3,0.0107,0.9987
"kelas 1 with crowding, midline shiftin",0.011,0.9988
kelas 1 with deep bite and protrusion ,0.0133,0.9988
kelas 1 normal 1,0.0105,0.999
kelas 1 with crossbite and crowding 1,0.0086,0.9991
