foto,n_gigi,n_seed,cakupan,celah_besar,lolos
kelas 1 dengan diastema 1,18,24,1.06,2,False
kelas 1 dengan diastema 2,15,24,0.946,5,False
kelas 1 normal 1,19,24,0.965,4,False
kelas 1 normal 2,12,24,0.597,5,False
kelas 1 normal 3,14,24,0.935,4,False
kelas 1 with crossbite and crowding 1,13,24,0.543,4,False
kelas 1 with crowding lower anterior 1,15,24,0.538,6,False
kelas 1 with crowding lower anterior 2,14,24,0.616,1,False
"kelas 1 with crowding, midline shifting, crossbite incisor lateral 1",10,24,0.346,6,False
"kelas 1 with crowding, midline shifting, crossbite incisor lateral 2",16,24,0.833,2,False
kelas 1 with deep bite and protrusion 1,14,24,1.085,1,False
kelas 1 with deep bite and protrusion 2,12,24,0.949,2,False
kelas 1 with deep bite and protrusion 3,10,24,0.53,2,False
kelas 1 with multiple diastema and open bite anterior 1,16,24,0.955,2,False
kelas 1 with upper anterior croeding and midline shifting 1,15,24,1.201,1,False
kelas 1 with upper anterior croeding and midline shifting 2,18,24,0.651,4,False
kelas 1 with upper anterior croeding and midline shifting 3,16,24,0.626,4,False
kelas 3,22,24,0.96,3,False
