config,weak_spearman,AC_mean
vitb14|mean|t0.2|TTA,0.265,5.49
vitb14|mean|t0.3|TTA,0.255,5.5
vitb14|mean|t0.2|noTTA,0.255,5.5
vitb14|mean|t0.1|noTTA,0.254,5.49
vitb14|mean|t0.3|noTTA,0.242,5.5
vitb14|cls|t0.3|TTA,0.207,5.47
vitb14|mean|t0.1|TTA,0.193,5.48
vitb14|cls|t0.1|TTA,0.18,5.41
vitb14|cls|t0.2|TTA,0.164,5.46
vits14|mean|t0.3|TTA,0.147,5.49
vits14|mean|t0.2|TTA,0.129,5.49
vits14|mean|t0.3|noTTA,0.114,5.49
vits14|mean|t0.1|TTA,0.1,5.48
vits14|mean|t0.2|noTTA,0.092,5.48
vits14|mean|t0.1|noTTA,0.088,5.47
vitb14|cls|t0.1|noTTA,0.066,5.41
vitb14|cls|t0.3|noTTA,0.047,5.47
vitb14|cls|t0.2|noTTA,0.041,5.46
vits14|cls|t0.1|TTA,-0.091,5.42
vits14|cls|t0.3|TTA,-0.097,5.47
vits14|cls|t0.2|TTA,-0.147,5.46
vits14|cls|t0.2|noTTA,-0.182,5.45
vits14|cls|t0.1|noTTA,-0.19,5.4
vits14|cls|t0.3|noTTA,-0.194,5.47
